metric,value
count_rh1,8106
count_rh2,7887
count_intersection,7459
count_only_rh1,647
count_only_rh2,428
score_mean.mean,0.9793264841902837
score_mean.min,0.90394711966243
score_mean.max,1.0
delta_score.mean,0.013096454729704549
delta_score.max,0.066639846384136
