metric,value
count_rh1,18697
count_rh2,20014
count_intersection,17538
count_only_rh1,1159
count_only_rh2,2476
score_mean.mean,0.9924679119452181
score_mean.min,0.941384652061401
score_mean.max,1.0
delta_score.mean,0.005375907410566379
delta_score.max,0.05987864374836982
