metric,value
count_rh1,26116
count_rh2,29999
count_intersection,23706
count_only_rh1,2410
count_only_rh2,6293
score_mean.mean,0.9878935124945711
score_mean.min,0.9205106248717321
score_mean.max,1.0
delta_score.mean,0.010711476921271378
delta_score.max,0.07995852971853701
